country,origin_quarter,horizon_quarters,target_quarter,macro_feature_quarter,trade_graph_quarter,cpi_yoy_input,energy_cpi_yoy_input,target_cpi_yoy,split
DEU,2018Q2,4,2019Q2,2018Q1,2018Q1,1.454545454545464,1.0309278350515427,1.6672010259698888,test
DNK,2018Q2,4,2019Q2,2018Q1,2018Q1,0.4975124378109541,-0.5074424898511509,0.6869479882237295,test
EST,2018Q2,4,2019Q2,2018Q1,2018Q1,3.225701768619227,3.7598670544245927,2.9693782864212537,test
FIN,2018Q2,4,2019Q2,2018Q1,2018Q1,0.7765257905693268,2.310937799654811,1.3149329514386077,test
FRA,2018Q2,4,2019Q2,2018Q1,2018Q1,1.5060937345179548,3.411479385610372,1.3042919557954225,test
GRC,2018Q2,4,2019Q2,2018Q1,2018Q1,0.2695148732281938,-0.3945538630703904,0.6334253694981307,test
HRV,2018Q2,4,2019Q2,2018Q1,2018Q1,1.113228362250518,3.9719024677282944,0.7874271955227385,test
HUN,2018Q2,4,2019Q2,2018Q1,2018Q1,2.017629774730656,1.512431857465768,3.795910639909139,test
IRL,2018Q2,4,2019Q2,2018Q1,2018Q1,0.5028494803888783,4.4822793606671185,1.2574454003970947,test
ITA,2018Q2,4,2019Q2,2018Q1,2018Q1,0.8652246256239726,5.140507196710065,0.9046849757673447,test
LTU,2018Q2,4,2019Q2,2018Q1,2018Q1,3.0919473103627526,6.827309236947787,2.549196381384644,test
LUX,2018Q2,4,2019Q2,2018Q1,2018Q1,1.171951940122118,3.58169201654166,1.9689450936449584,test
LVA,2018Q2,4,2019Q2,2018Q1,2018Q1,2.0323476556118214,2.7412242017992305,3.294835887591674,test
MLT,2018Q2,4,2019Q2,2018Q1,2018Q1,1.2823101777059698,1.0514609240724004,1.7462681836909244,test
NLD,2018Q2,4,2019Q2,2018Q1,2018Q1,1.251452282157639,8.24767328795668,2.700080840743757,test
AUT,2018Q3,4,2019Q3,2018Q2,2018Q2,2.135426762292414,2.0102226338718943,1.3491259184190474,test
BEL,2018Q3,4,2019Q3,2018Q2,2018Q2,2.1612448770491843,5.8054187936085855,0.8769192360504441,test
BGR,2018Q3,4,2019Q3,2018Q2,2018Q2,2.3508924684370935,2.8019801980198045,2.2476251811302195,test
CYP,2018Q3,4,2019Q3,2018Q2,2018Q2,0.8036279969322324,0.6950190302830173,0.0847761583357753,test
CZE,2018Q3,4,2019Q3,2018Q2,2018Q2,2.072538860103612,1.6559648529908877,2.589201136722452,test
DEU,2018Q3,4,2019Q3,2018Q2,2018Q2,1.9281045751633696,2.832469775474933,1.0136205258156616,test
DNK,2018Q3,4,2019Q3,2018Q2,2018Q2,0.924397490921125,2.4112986565621553,0.4235907461713761,test
EST,2018Q3,4,2019Q3,2018Q2,2018Q2,3.284135199028815,5.183065163519607,2.133178710937522,test
FIN,2018Q3,4,2019Q3,2018Q2,2018Q2,1.0126249342451432,2.8867102396514133,1.0888997237120224,test
FRA,2018Q3,4,2019Q3,2018Q2,2018Q2,2.14609175034457,4.9029221415964,1.2136932782528032,test
GRC,2018Q3,4,2019Q3,2018Q2,2018Q2,0.7428496629360737,0.9209541475478922,0.2446104171422991,test
HRV,2018Q3,4,2019Q3,2018Q2,2018Q2,1.7952369911562904,6.31284916201118,0.6692098797361989,test
HUN,2018Q3,4,2019Q3,2018Q2,2018Q2,2.805981769228283,1.3300165837479172,3.1368256450351906,test
IRL,2018Q3,4,2019Q3,2018Q2,2018Q2,0.4320372216683132,7.273366127898817,0.5582922824302061,test
ITA,2018Q3,4,2019Q3,2018Q2,2018Q2,0.978792822185981,-0.9171195652173948,0.3254149040026188,test
LTU,2018Q3,4,2019Q3,2018Q2,2018Q2,2.5341068468698325,3.282917520672801,2.342387241465249,test
LUX,2018Q3,4,2019Q3,2018Q2,2018Q2,1.9319257252880195,8.296444380979606,1.359569522717874,test
LVA,2018Q3,4,2019Q3,2018Q2,2018Q2,2.374355670103112,3.5666360618688,2.8021511463345528,test
MLT,2018Q3,4,2019Q3,2018Q2,2018Q2,1.724804951963388,1.1188622653590885,1.79717186818662,test
NLD,2018Q3,4,2019Q3,2018Q2,2018Q2,1.526592252133896,8.435662851775838,2.8065893837705858,test
AUT,2018Q4,4,2019Q4,2018Q3,2018Q3,2.2439529838422567,3.363136176066006,1.3531249999999773,test
BEL,2018Q4,4,2019Q4,2018Q3,2018Q3,2.7314696075916745,11.557192427101716,0.4925345393717695,test
BGR,2018Q4,4,2019Q4,2018Q3,2018Q3,3.623744536020568,3.8215937968332447,2.319280023225057,test
CYP,2018Q4,4,2019Q4,2018Q3,2018Q3,1.583253287403541,16.060520957663414,0.2289772350168917,test
CZE,2018Q4,4,2019Q4,2018Q3,2018Q3,2.2602518566354535,2.601351351351311,2.969984202211684,test
DEU,2018Q4,4,2019Q4,2018Q3,2018Q3,2.201359663321467,4.152249134948094,1.178343949044569,test
DNK,2018Q4,4,2019Q4,2018Q3,2018Q3,0.7220216606498298,1.869158878504673,0.6538084341288108,test
EST,2018Q4,4,2019Q4,2018Q3,2018Q3,3.460469815610012,9.267292912041023,1.6856505939475408,test
FIN,2018Q4,4,2019Q4,2018Q3,2018Q3,1.397448996407502,5.501410618107183,0.9349422535666728,test
FRA,2018Q4,4,2019Q4,2018Q3,2018Q3,2.555092121251912,8.828202581926515,1.251840942562632,test
GRC,2018Q4,4,2019Q4,2018Q3,2018Q3,0.931595233392568,1.87154402381966,0.4098493966105954,test
HRV,2018Q4,4,2019Q4,2018Q3,2018Q3,1.994922016684808,5.8754233544396905,0.8937857514300651,test
HUN,2018Q4,4,2019Q4,2018Q3,2018Q3,3.519166019165998,1.4876909313806586,3.5181203452681498,test
IRL,2018Q4,4,2019Q4,2018Q3,2018Q3,1.0285335102853566,11.808248149453648,0.8259002312520414,test
ITA,2018Q4,4,2019Q4,2018Q3,2018Q3,1.6539861065167027,5.3730321697467165,0.2899484536082797,test
LTU,2018Q4,4,2019Q4,2018Q3,2018Q3,2.180209427416524,-0.2957447548797676,2.004193389245157,test
LUX,2018Q4,4,2019Q4,2018Q3,2018Q3,2.530033951423327,11.727729885057482,1.22827566557977,test
LVA,2018Q4,4,2019Q4,2018Q3,2018Q3,2.9129041654529564,4.225153913808244,2.093700122054254,test
MLT,2018Q4,4,2019Q4,2018Q3,2018Q3,2.3722976850966138,0.6235542592778698,1.3228793598554445,test
NLD,2018Q4,4,2019Q4,2018Q3,2018Q3,1.7912594384336122,11.757959126928942,2.7236727729306853,test
AUT,2019Q1,4,2020Q1,2018Q4,2018Q4,2.128746050489938,5.094096940157078,1.9777386492265017,test
BEL,2019Q1,4,2020Q1,2018Q4,2018Q4,2.766370610893598,13.46047298282449,0.9527664476756792,test
BGR,2019Q1,4,2020Q1,2018Q4,2018Q4,2.9830913862405772,4.911907752761957,2.970010607180784,test
CYP,2019Q1,4,2020Q1,2018Q4,2018Q4,1.5228084360892291,26.17898387500448,0.6073284297185788,test
CZE,2019Q1,4,2020Q1,2018Q4,2018Q4,1.7684887459806786,2.765598650927492,3.684046206681235,test
DEU,2019Q1,4,2020Q1,2018Q4,2018Q4,2.147039687703356,4.849726775956276,1.5720243824189906,test
DNK,2019Q1,4,2020Q1,2018Q4,2018Q4,0.6912442396312946,2.2812393598910408,0.5872756933115841,test
EST,2019Q1,4,2020Q1,2018Q4,2018Q4,3.6723968721309457,12.104662818430034,1.536617597344736,test
FIN,2019Q1,4,2020Q1,2018Q4,2018Q4,1.4872939785934849,7.642405063291147,1.0626235137849438,test
FRA,2019Q1,4,2020Q1,2018Q4,2018Q4,2.1854347968330856,9.040261717358211,1.3281575823682612,test
GRC,2019Q1,4,2020Q1,2018Q4,2018Q4,1.1482529446601442,6.599816489710331,0.5564335572237455,test
HRV,2019Q1,4,2020Q1,2018Q4,2018Q4,1.320512398327134,2.372857345233026,1.1543632964942985,test
HUN,2019Q1,4,2020Q1,2018Q4,2018Q4,3.292777134028557,1.2188311048326297,4.352408704817412,test
IRL,2019Q1,4,2020Q1,2018Q4,2018Q4,0.9000000000000119,7.089552238805941,0.8267195767195812,test
ITA,2019Q1,4,2020Q1,2018Q4,2018Q4,1.471068976789791,9.92547425474255,0.2286087524493885,test
LTU,2019Q1,4,2020Q1,2018Q4,2018Q4,2.331745180323752,7.610091265572416,2.466547450206602,test
LUX,2019Q1,4,2020Q1,2018Q4,2018Q4,2.4220219181635416,11.78846220798664,1.5674678875746917,test
LVA,2019Q1,4,2020Q1,2018Q4,2018Q4,2.891643857671866,4.635807860261987,1.9375739829294192,test
MLT,2019Q1,4,2020Q1,2018Q4,2018Q4,1.5564584835179085,0.3611194703581066,1.224757839435231,test
NLD,2019Q1,4,2020Q1,2018Q4,2018Q4,1.829328262793828,13.27485582069965,1.3309870420732617,test
AUT,2019Q2,4,2020Q2,2019Q1,2019Q1,1.6004855764623294,3.8710116334444544,1.0578388973584874,test
BEL,2019Q2,4,2020Q2,2019Q1,2019Q1,1.987869550030208,7.27601071886288,-0.0030829942039733,test
BGR,2019Q2,4,2020Q2,2019Q1,2019Q1,2.500658935160782,5.0195650779395695,1.0729408768187287,test
CYP,2019Q2,4,2020Q2,2019Q1,2019Q1,1.3334245076586315,15.469937802349731,-1.6182613557872538,test
CZE,2019Q2,4,2020Q2,2019Q1,2019Q1,2.332268370607049,6.0232945091514,3.251780737070309,test
DEU,2019Q2,4,2020Q2,2019Q1,2019Q1,1.5640273704790042,4.251700680272119,0.6937874487543461,test
DNK,2019Q2,4,2020Q2,2019Q1,2019Q1,1.1551155115511635,2.210132607956461,-0.0324886289798542,test
EST,2019Q2,4,2020Q2,2019Q1,2019Q1,2.2949479707000897,7.824491157824465,-1.441874436767765,test
