iso3,quarter,split,actual,arima_pred,var_pred
CHN,2023Q2,test,-0.0645808770551981,-0.2524081800745292,-0.023856716338946482
CHN,2023Q3,test,-0.3225919329170712,-0.0015997668641096058,0.770785714879759
CHN,2023Q4,test,-0.0322009431183101,-0.43045548925648663,-0.350478197091145
CHN,2024Q1,test,0.2268533474014011,0.10083908893806026,-0.06314761661688317
CHN,2024Q2,test,0.484626133140531,0.2690077889706792,0.501843685551306
CHN,2024Q3,test,0.1941815738426777,0.556982123668637,0.317015023633451
CHN,2024Q4,test,,0.07282200647845145,0.703082984557948
DEU,2019Q1,val,1.7041856050985738,1.3161483177992062,1.3724065353132113
DEU,2019Q2,val,1.4668472062854487,1.727616547676866,1.5357920660566737
DEU,2019Q3,val,1.244796990480057,1.4528672359285073,1.1448095251132462
DEU,2019Q4,val,1.6195438204101409,1.2326661514981028,1.29940375781318
DEU,2020Q1,val,0.4118820544285029,1.6400188495867927,1.0501549430647288
DEU,2020Q2,val,-0.9165032485150992,0.3894497643767864,0.38696980307435386
DEU,2020Q3,val,-0.5044240730344818,-1.068928550392908,-0.2540978484507792
DEU,2020Q4,val,1.499007886355597,-0.45786459796609064,-0.41129433632652235
DEU,2021Q1,test,2.190516335768544,1.8816891396624271,1.7111715013073228
DEU,2021Q2,test,3.878335605510697,2.249959631216864,2.200679985051245
DEU,2021Q3,test,4.709417885358791,4.249098577213346,3.9028252423521885
DEU,2021Q4,test,4.791615497806467,4.815056570418272,2.8292168770298463
DEU,2022Q1,test,6.6580307688516305,4.785433644170078,4.8544595927278635
DEU,2022Q2,test,7.402597521538401,7.148826293835912,6.214072080246131
DEU,2022Q3,test,8.580531166229965,7.4632576369732595,7.0130781311317305
DEU,2022Q4,test,8.236776619278752,8.881017980166023,9.658259086896406
DEU,2023Q1,test,6.546891648222597,8.087080434376984,7.215691467954081
DEU,2023Q2,test,5.603833838571171,6.104972814705466,5.616699996379114
DEU,2023Q3,test,3.554632184401285,5.452252092976197,4.472622526313962
DEU,2023Q4,test,2.5173413371259334,2.938193772011093,1.1995976960257817
