iso3,quarter,actual,stgnn_pred,split
RUS,2021Q4,11.550039291381836,9.12759780883789,test
SAU,2021Q4,1.6110914945602417,1.8780274391174316,test
SGP,2021Q4,2.316103219985962,3.1343746185302734,test
TUR,2021Q4,54.799015045166016,26.66652488708496,test
USA,2021Q4,8.024246215820312,7.581209659576416,test
VNM,2021Q4,1.8347156047821045,2.6497995853424072,test
ZAF,2021Q4,5.81536340713501,6.289218902587891,test
ARG,2022Q1,60.96348190307617,53.338645935058594,test
AUS,2022Q1,6.144817352294922,5.676013469696045,test
BRA,2022Q1,11.915947914123535,11.332806587219238,test
CAN,2022Q1,7.546720504760742,6.42022705078125,test
CHE,2022Q1,2.9589383602142334,2.653575897216797,test
CHN,2022Q1,2.255349636077881,1.761602759361267,test
DEU,2022Q1,6.658030986785889,5.3933844566345215,test
FRA,2022Q1,5.288944721221924,4.2529144287109375,test
GBR,2022Q1,7.932692527770996,6.106919765472412,test
IDN,2022Q1,3.791703224182129,2.8777382373809814,test
IND,2022Q1,6.484506130218506,6.004676818847656,test
ITA,2022Q1,6.914212703704834,6.264822483062744,test
KOR,2022Q1,5.407083034515381,4.403658866882324,test
MEX,2022Q1,7.7742815017700195,7.855803489685059,test
NLD,2022Q1,8.956132888793945,8.0387601852417,test
SAU,2022Q1,2.2834999561309814,2.196030378341675,test
SGP,2022Q1,2.316103219985962,2.9038689136505127,test
TUR,2022Q1,74.0699462890625,55.38130569458008,test
USA,2022Q1,8.584982872009277,8.630378723144531,test
VNM,2022Q1,1.8347156047821045,2.4247398376464844,test
ZAF,2022Q1,6.68799352645874,6.396018028259277,test
ARG,2022Q2,77.63294982910156,61.41980743408203,test
AUS,2022Q2,7.268105506896973,6.621880531311035,test
BRA,2022Q2,8.645332336425781,12.396536827087402,test
CAN,2022Q2,7.1528801918029785,8.026893615722656,test
CHE,2022Q2,3.379277229309082,3.442105531692505,test
CHN,2022Q2,2.651644229888916,2.7528090476989746,test
DEU,2022Q2,7.402597427368164,7.1505584716796875,test
FRA,2022Q2,5.8483734130859375,5.775629043579102,test
GBR,2022Q2,8.752604484558105,8.42104434967041,test
IDN,2022Q2,5.193322658538818,4.268485069274902,test
IND,2022Q2,6.041736125946045,6.971283435821533,test
